Date,Body Battery
May 23,5
May 23,46
May 23,42
May 23,36
May 23,37
May 23,28
May 24,36
May 24,100
May 24,94
May 24,61
May 24,60
May 24,27
May 25,30
May 25,100
May 25,94
May 25,67
May 25,67
May 25,17
May 26,15
May 26,19
May 26,21
May 26,17
May 26,18
May 26,6
May 27,7
May 27,62
May 27,61
May 27,48
May 27,48
May 27,9
May 28,5
May 28,11
May 28,11
May 28,5
May 28,5
May 28,26
May 29,13
May 29,35
May 29,39
May 29,13
May 29,13
May 29,5
May 30,5
May 30,5
May 30,5
May 30,5
May 30,5
May 30,17
May 31,18
May 31,100
May 31,98
May 31,69
May 31,69
May 31,39
Jun 1,48
Jun 1,100
Jun 1,93
Jun 1,59
Jun 1,59
Jun 1,11
Jun 2,11
Jun 2,8
Jun 2,9
Jun 2,6
Jun 2,6
Jun 2,5
Jun 3,5
Jun 3,5
Jun 3,5
Jun 3,5
Jun 3,5
Jun 3,5
Jun 4,5
Jun 4,29
Jun 4,30
Jun 4,9
Jun 4,9
Jun 4,5
Jun 5,5
Jun 5,8
Jun 5,8
Jun 5,5
Jun 5,5
Jun 5,5
Jun 6,5
Jun 6,60
Jun 6,60
Jun 6,46
Jun 6,42
Jun 6,67
Jun 7,67
Jun 7,100
Jun 7,91
Jun 7,53
Jun 7,53
Jun 7,33
Jun 8,33
Jun 8,53
Jun 8,51
Jun 8,38
Jun 8,38
Jun 8,11
Jun 9,9
Jun 9,27
Jun 9,26
Jun 9,18
Jun 9,20
Jun 9,13
Jun 10,19
Jun 10,100
Jun 10,96
Jun 10,68
Jun 10,68
Jun 10,47
Jun 11,47
Jun 11,33
Jun 11,34
Jun 11,17
Jun 11,17
Jun 11,5
Jun 12,5
Jun 12,5
Jun 12,5
Jun 12,5
Jun 12,5
Jun 12,7
Jun 13,7
Jun 13,76
Jun 13,75
Jun 13,48
Jun 13,42
Jun 13,52
Jun 14,44
Jun 14,73
Jun 14,76
Jun 14,41
Jun 14,41
Jun 14,18
Jun 15,20
Jun 15,79
Jun 15,73
Jun 15,53
Jun 15,47
Jun 15,64
Jun 16,64
Jun 16,100
Jun 16,100
Jun 16,58
Jun 16,58
Jun 16,22
Jun 17,21
Jun 17,37
Jun 17,34
Jun 17,18
Jun 17,18
Jun 17,5
Jun 18,5
Jun 18,5
Jun 18,5
Jun 18,5
Jun 18,5
Jun 18,5
Jun 19,5
Jun 19,5
Jun 19,5
Jun 19,13
Jun 19,13
Jun 19,24
